======
Put anchor inside vacuum bottle made out of metal
Cover tag with aluminium wrap
======
range, ranging_attempt_count3.91,49
3.87,21
4.46,437
5.57,583
5.14,783
3.96,1102
4.45,271
3.91,187
3.91,21
3.89,215
3.99,215
4.08,21
4.23,105
4.00,159
3.91,21
3.93,21
3.92,76
4.49,77
3.93,48
4.96,21
4.02,434
3.94,132
4.02,159
3.93,21
3.83,21
4.04,77
4.00,49
3.93,187
4.10,49
3.70,603
4.06,21
4.03,21
4.65,160
5.23,104
3.95,21
4.14,49
4.09,104
4.02,132
4.43,49
4.14,104
4.11,132
3.91,104
4.05,21
4.02,243
4.06,21
4.04,132
4.00,48
4.05,77
3.98,21
4.24,21
4.08,132
4.10,49
4.07,21
4.32,104
3.35,409
3.54,21
3.57,21
3.80,104
3.60,49
3.40,159
3.90,49
3.67,49
3.49,215
3.96,49
3.71,132
3.59,104
4.24,215
3.94,21
4.86,270
3.66,49
3.52,21
4.29,21
3.45,21
3.85,21
3.52,160
3.96,21
4.04,21
3.91,21
4.87,132
3.53,21
3.51,131
3.68,77
3.81,49
3.96,187
4.08,76
3.96,21
3.99,21
3.81,104
4.50,21
3.56,353
3.59,76
4.10,21
4.20,76
3.53,48
3.77,21
3.70,21
3.93,21
4.32,49
3.81,21
3.60,21
4.04,159
4.10,49
3.91,242
3.89,187
4.12,49
3.83,492
4.32,20
3.68,49
3.98,21
3.91,243
4.17,21
3.79,159
3.89,270
3.66,270
3.75,132
3.94,21
3.71,21
4.03,21
3.85,76
3.80,21
3.89,49
3.81,242
3.72,21
3.89,132
3.83,131
3.70,21
3.60,21
3.95,21
3.66,49
4.23,242
3.99,49
4.04,48
4.56,132
4.62,21
4.11,76
3.88,21
4.39,49
4.76,49
4.67,76
4.64,492
4.19,76
4.04,104
3.57,21
3.75,21
3.79,215
3.98,76
3.73,21
3.88,187
4.00,76
3.85,464
3.70,49
3.92,48
3.89,21
3.81,49
3.68,21
3.69,76
3.63,49
3.44,76
4.07,21
3.94,21
3.77,49
3.92,76
4.08,187
4.03,49
3.99,49
3.82,76
3.88,104
3.90,76
4.09,21
3.70,21
3.81,77
3.73,48
4.08,49
3.71,76
3.76,21
4.29,21
3.78,21
